質問,"回答"
ONUとはなんですか？,"ONUとは、NTTの光回線を宅内で利用可能にするための回線終端装置。\n光ファイバーから送られてくる光信号を、インターネットや電話機で使える電気信号（デジタル信号）に変換し、逆に端末から送られる信号を光信号へ変換する役割を持つ。\nONUは光回線の入口となる機器で、インターネット・ひかり電話の基盤装置。\nこの装置が動作していない場合、インターネット・固定電話ともに利用不可。\n\n■種類\n・単体型ONU\n・ONU一体型HGW\n\nONU自体にはWi-Fi機能やルーター機能はなく、通信方式や接続設定はHGWまたはWi-Fiルーター側で行う。"
ホームゲートウェイ（HGW）とはなんですか？,"HGWとは、NTTの光回線と宅内機器をつなぐ中核装置で、ひかり電話・インターネット接続・ルーター機能などを一体で担う機器。\n一般的に「ひかり電話対応ルーター」と呼ばれる。\n\n■担当する機能\n・ひかり電話の制御\n・回線認証（IPv6／IPv4）\n・ルーター機能\n・無線LAN機能（機種・オプションによる）\n\nひかり電話を契約している場合、HGWの設置が必須。\n市販Wi-Fiルーターのみでの運用は不可。\nHGWにはONU一体型とONU別体型があり、いずれの場合も回線と電話サービスの制御はHGWが行う。"
ホームゲートウェイ(HGW)のランプ状態について教えてください。,"下記URLを参照。\n西日本：https://flets-w.com/user/support/solve/notconnect/check_03/ \n東日本：https://web113.ntt-east.co.jp/selfcheck/internet/ \n\n＜よくあるランプ状態パターン＞\n①POWERランプ【消灯】\n状態\n・POWER：消灯\n・他ランプ：すべて消灯\n考えられる原因\n・電源ケーブル未接続\n・コンセント抜け\n・電源タップOFF\n・電源アダプタ故障\n解決策\n・電源ケーブル指し直し\n・直接壁コンセントに接続\n・別の電源タップで確認\n・改善しなければ機器故障疑い\n②POWERランプ【点灯】＋他すべて消灯\n状態\n・POWER：点灯\n・回線・通信系：消灯\n考えられる原因\n・ONUとの接続不良\n・ONUが未起動/故障\n・光回線未開通・回線障害\n解決策\n・ONUの電源・ランプ確認\n・ONU～HGW間LANケーブル指し直し\n・ONU→HGWの順で再起動\n・回線障害情報を確認\n③回線ランプ(PON/光)【消灯】\n状態\n・POWER：点灯\n・光回線系：消灯\n考えられる原因\n・光ファイバー抜け・断線\n・ONU側で回線未同期\n・屋外回線障害\n解決策\n・光ケーブル抜き差し（無理に曲げない）\n・ONUランプ確認\n・周辺エリア障害確認\n・NTT故障切り分け\n④回線ランプ【点灯】＋INTERNETランプ【消灯】\n状態\n・光回線：正常\n・INTERNET：消灯\n考えられる原因\n・認証未完了\n・IPv6プラス切替反映持ち\n・契約状態確認\n・数十分待っても改善しなければ設定確認\n解決策\n・HGW再起動\n・IPv6プラス切替反映待ち\n・契約状態確認\n・数十分待っても改善しなければ設定確認/n/nランプ状態確認ページ：[ここから](https://www.ntt-west.co.jp/kiki/support/hgw_lamp/)"
電話を解約してネットだけにしたい場合、どうしたらいいですか？,"電話サービスを解約してインターネットのみになる場合、利用中のルーター構成や接続方式によって設定変更や再設定が必要になる。\nHGW構成から市販ルーター構成に変わるケースもある。\nプラン変更に伴い、事務手数料 3,300円がかかる。"
解約後にサービスの不具合が起こった場合どうしたらいい？,"解約後はサービス利用不可となるため、当社での保証対応は不可。\n復旧希望の場合は再契約や再手続きで対応。\n対応は可能だが、復旧まで時間がかかる場合あり。\n事業者変更の場合は特に注意。"
リモートサポートは何がありますか？,"遠隔サポートメニュー。\n遠隔ソフトを使用し、以下の対応を行う。\n\n・セキュリティソフトのインストール\n・メール設定\n\n■料金\n・月額：550円\n・事務手数料：0円"
スリムテレビについて教えてください。,"フレッツテレビ相当のサービス。\n\n■内容\n・地デジ、BSが視聴可能\n・地域によりチャンネル内容が異なる\n\n■料金\n・月額：990円（税込）\n\n■利用条件\n・提供エリア内であること\n・対応ルーター、テレビ配線が必要\n\n■参考URL\n[西日本 視聴可能チャンネル一覧](https://flets-w.com/opt/ftv/terms/channel.html)\n[東日本 視聴可能チャンネル一覧](https://flets.com/ftv/channel.html)"
電話のみの利用は可能ですか？,"利用可能。\nひかり電話のみ契約できる。\n\n■参考\n[スリム光電話ページ](https://www.slim-j.net/service/slim-phone/)"
故障センターの連絡先はどこですか？,"内容により窓口が異なる。\n\n■回線・電話故障（光断線など）\n・0120-805-113\n・9:00〜17:00（時間外は折り返し）\n\n■インターネット不具合\n・0120-36-3624\n・平日 10:00〜19:00\n・土曜 10:00〜17:00\n・日祝除く"
スリム光の公式LINEのIDを教えてください。,"@479bygyt"
インターネットの接続設定方法を教えてください。,"接続方式は2種類あり、使用機器によって合計4通りの設定方法がある。\n\n【接続方式】\n・PPPoE（ID・パスワード認証方式）\n・IPoE（IPv6プラス/自動接続方式）\n\n【設定方法（4通り）】\n\n■①PPPoE×HGW（NTTルーター）\n※ONUのみは対象外\n１．HGWとパソコンをLANケーブルで接続\n（スマートフォンの場合はWi-FiルーターをAPモードにして接続）\n２．ブラウザで以下を入力\nhttp://192.168.1.1￥ n３．ログイン\n・ID：user\n・パスワード：user\n※ログインできない場合は初期化が必要な場合あり\n（ひかり電話複数契約時は要注意）\n４．PPPoE設定\n・接続先名：スリム\n・接続先ユーザー名：当社発行ID\n・接続パスワード：当社発行PW\n５．設定保存\n👉PPPoEランプが緑点灯で接続完了\n※表示されない場合\n→接続先設定→IPv4 PPPoE→メインセッション\n\n■②PPPoE×Wi-Fiルーター\n各メーカーごとの設定参照\n🔗参考URL（PPPoE設定）\n・[TP-Link](https://www.tp-link.com/jp/support/faq/87/)\n・[NEC](https://www.aterm.jp/support/guide/)\n・[BUFFALO](https://www.buffalo.jp/support/faq/detail/129.html)\n・[ELECOM](https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152)\n・[ASUS](https://www.asus.com/jp/support/faq/1005263/)\n・[I-O DATA](https://www.iodata.jp/support/qanda/answer/s30352.html)\n👉 ルーター側にID・パスワードを設定\n\n■③IPoE（IPv6プラス）× HGW\n※ONUのみは対象外\n１．当社よりIPv6利用の信号を送信\n２．翌日以降、自動的に接続\n👉 お客様側の設定不要\n\n■IPoEが利用できない主な原因\n・他社IPoE信号が残っている\n・契約情報不一致（CAF／契約者）\n・HGWの電源OFF\n・回線未同期\n👉 解消までIPv6利用不可\n\n■④IPoE（IPv6プラス）× Wi-Fiルーター\n各メーカーごとの設定参照\n🔗参考URL（IPv6設定）\n・[TP-Link](https://www.tp-link.com/jp/support/faq/87/)\n・[NEC](https://www.aterm.jp/support/guide/)\n・[BUFFALO](https://www.buffalo.jp/support/faq/detail/129.html)\n・[ELECOM](https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152)\n・[ASUS](https://www.asus.com/jp/support/faq/1005263/)\n・[I-O DATA](https://www.iodata.jp/support/qanda/answer/s30352.htm)\n👉 ルーター側で「IPv6（IPoE）」に設定変更が必要"
PPPoEとIPoEの違いは何ですか？,"インターネット接続方式の違い\n\n■PPPoE\n・ID/パスワード認証あり\n・従来方式（IPv4）\n・混雑しやすく速度低下が起きやすい\n・HGWやルーターに設定が必要\n\n■IPoE（IPv6プラス）\n・認証不要（自動接続）\n・次世代方式（IPv6）\n・混雑しにくく高速通信が可能\n・基本的に設定不要（HGWの場合）\n\n■使い分け\n・速度重視→IPoE\n・特定用途（VPNなど）→PPPoE"
CAF番号とは何ですか？,"CAF番号（キャフ番号）は、NTTが光回線契約ごとに発行する識別ID。\n英数字で構成され、回線ごとに一意に割り当てられる。\n\n■用途\n・回線の特定（契約照合）\n・V6プラス信号送信時に使用\n・事業者変更／各種手続き時に使用"
事務手数料はいくらかかりますか？,"内容により異なる。\n\n■主な手数料\n・電話オプション追加：3,300円\n・回線種別変更：4,400円\n\n※その他手続きでも事務手数料が発生する場合あり"
移転工事費用はいくらかかりますか？,"移転時の基本費用は以下の通り。\n・契約料：880円\n・引込工事料金：22,000円\n電話やテレビがある場合は、以下のような追加工事費用が追加で発生する可能性あり\n・電話番号の移行や交換機設定に伴う工事費\n・テレビ設備（分配器・配線等）の工事費\n・宅内の配線状況に応じた追加工事費（配線延長・設置位置変更など）\n※追加費用は、建物の設備状況や配線状況により異なる。"
TP-Linkの中継器設定方法を教えてください。,"【設定方法】\n・WPSボタン接続\n・アプリ（Tether）設定\n\n■WPS設定\n１．中継器をルーター付近のコンセントに接続\n２．Wi-FiルーターのWPSボタンを押す\n３．中継器のWPSボタンを押す\n４．ランプが安定点灯になるまで待つ\n→ 完了\n\n■参考\n[無線LAN中継器の初期設定](https://www.tp-link.com/jp/support/faq/1699/)\n[Tetherアプリで中継器の初期設定](https://www.tp-link.com/jp/support/faq/1373/)"
ゲーム機をインターネットに接続する方法を教えてください。,"機種ごとの設定方法は以下参照\n[Nintendo Switch無線インターネット接続設定](https://support.nintendo.com/jp/switch/internet/wireless.html)\n[Nintendo Switch有線インターネット接続設定](https://support.nintendo.com/jp/switch/internet/wired.html)\n[PlayStationインターネット接続設定](https://www.playstation.com/ja-jp/support/connectivity/internet-connect-playstation/)\n[Xboxインターネット接続設定](https://support.xbox.com/ja-JP/help/hardware-network/connect-network/network-settings)\n[PSPインターネット接続設定](https://www.wikihow.jp/psp%E3%82%92%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B)"
WiFiの接続方法について,"Wi-Fiに接続するには、Wi-FiルーターとWi-Fi対応の機器(パソコンやスマートフォンなど)が必要。\nネットワーク名(SSID)と暗号化キー(パスワード)を入力することで接続できる。"
落雷直後からネットが使えなくなった場合はどうしたらいいですか？,"雷後は機器トラブルの可能性あり。\n\n■対処\n・ONU/HGW/ルーターの再起動\n・電源ケーブル抜き差し（数分待つ）\n・LANケーブル差し直し\n\n■注意\n・雷が止んでから作業する\n・改善しない場合は機器故障の可能性あり"
ネットが途切れる原因は何ですか？,"主な原因は以下の通り。\n\n【端末・機器】\n・端末スペック不足（メモリ/CPU）\n・OSやアプリが古い\n・ルーターの熱暴走\n\n【回線・通信】\n・IPv4混雑（夜間など）\n・回線障害\n\n【環境】\n・Wi-Fi干渉（電子レンジ/Bluetooth）\n・設置位置が悪い\n・接続台数過多\n\n【その他】\n・IPアドレス重複\n・セキュリティソフトの影響"
速度が遅くなる原因は何ですか？,"主な原因は以下。\n\n【回線要因】\n・IPv4混雑\n・回線障害\n\n【Wi-Fi要因】\n・電波干渉\n・距離/障害物\n\n【機器要因】\n・端末性能不足\n・ルーター性能不足\n\n【利用状況】\n・同時接続台数が多い"
TP-Linkルーターの設定方法を教えてください。," ■接続\n１．ONUまたはHGWとLAN接続（黄色ポート）\n２．Wi-Fi接続（本体裏のSSID/PW）\n\n■設定\n３．ブラウザで以下にアクセス\nhttp://tplinkwifi.net または 192.168.0.1\n４．ログイン（初期：admin / 任意設定）\n５．クイックセットアップ実行\n\n■接続方式\n・PPPoE：ID/PW入力\n・IPv6（IPoE）：事前に当社側設定必要\n\n→ 設定後再起動で完了\n\n■参考\n[TP-Linkルーターの設定](https://www.tp-link.com/jp/support/faq/87/)"
その他メーカーのルーター設定方法は？,"各メーカーの設定手順を参照。\n\n■主なメーカー\n・[TP-Link](https://www.tp-link.com/jp/support/faq/87/)\n・[NEC](https://www.aterm.jp/support/guide/)\n・[BUFFALO](https://www.buffalo.jp/support/faq/detail/129.html)\n・[ELECOM](https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152)\n・[ASUS](https://www.asus.com/jp/support/faq/1005263/)\n・[I-O DATA](https://www.iodata.jp/support/qanda/answer/s30352.htm)\n※基本は「PPPoE設定」または「IPv6設定」を選択"
送付物の変更はどうやって行えばいいですか？,"請求書や明細の宛名・住所変更は電話受付のみで対応。\n反映は基本的に翌月分から。"
10Gpsスリム光クロスを利用したい場合、どうしたらいい？,"プラン変更の場合と新設の場合により異なる。\n\n【プラン変更の場合】\n各種ルーターやプロバイダをクロスタイプに変更が必要な場合がある。\n\n【新設の場合】\n対応機器を工事当日に当社が用意。"
転用承諾番号とは何ですか？,"フレッツ光から光コラボへ乗り換える際に必要な番号。\n\n■用途\n・フレッツ光 → スリム光への転用時に使用\n\n■取得方法\n・Web\n[西日本](https://flets-w.com/collabo/tenyou/entry/)\n[東日本](https://flets.com/app4/input/index/)\n\n・電話\n西日本：0120-553-104\n東日本：0120-140-202\n（9:00〜17:00）"
引越し時の手続きと開通機関について,"■利用可否\n引越し先がNTT提供エリア内であれば利用可能。\n※設備状況や管理会社許可により不可の場合あり\n\n■開通目安\n・戸建て：約1ヶ月\n・集合住宅（光配線あり）：2〜3週間\n・集合住宅（設備なし）：2週間〜3ヶ月\n\n■特典\n・工事費無料\n・PC設定無料\n・開通までモバイル貸出あり"
工事ができない理由を教えてください。,"工事ができない理由\n① 建物上の都合\n② 提供エリア外(ルート外)\n③ 建物設備が光回線に非対応\n当社では光ファイバーを引込するための配管工事などの付帯工事も行っている。"
サ総（サービス総合工事）とは何ですか？,"NTTの通信設備工事のこと。\n電柱や地下設備から回線を新設し、宅内まで引き込む工事。\n\n■発生ケース\n・新規引込\n・配管なし物件\n・ルート新設が必要な場合"
申込から工事までの流れを教えてください。,"■流れ\n①申込\n②工事日調整（3日〜2ヶ月）\n③必要に応じて現地調査\n④工事実施（立会い必須）\n⑤設定後、利用開始"
加入権とは何ですか？,"加入権とは、NTT東日本やNTT西日本の固定電話回線を契約するための権利で、正式には「施設設置負担金」と呼ばれる。"
ビジネスホンですが、ひかり電話を利用できますか,"基本的にはご利用頂けますが古い機種の場合、一部ご利用できない又は設定ができない場合がございます。\nスリム光の新規でのお申込みの場合、光の工事前に電話機調査を実施いたしますので、ご利用できない場合はその際にお伝えいたします。"
複合機について,"複合機ですが、基本的には「スリム光」に対応しております。\nご利用いただくにはスリム光のIPアドレスまたは複合機側の設定が必要な場合がございます。\nスリム光のグループIPアドレスを複合機で設定していただくか、複合機側のグループIPアドレスをスリム光のルーターに設定する必要があります。\nお電話でサポートまたは訪問でもサポート(有料)ができますので、お困りの場合は便利な訪問サポートをご活用ください。"
IPアドレスとは何ですか,"IPアドレスとは、インターネットに接続されている機器を識別するための番号です。\nインターネット上の住所や電話番号のような役割を果たしており、通信するデバイスにアクセスするための場所情報が含まれています。"
ポスレジ・カラオケ・警備端末・クレジットなどを利用したい、またはスリム光に対応していますか,"「スリム光」は、NTT東西の光コラボレーションとなりますので、基本的にはNTT東西の「フレッツ光」がその機器に対応しているのであれば対応可能です。\n「フレッツ光」が対応していない場合は、「スリム光」でも対応はできません。\n詳しくはご利用メーカーに、「フレッツ光」が対応しているかをご確認ください。"
ひかり電話の必要チャネル数を聞かれました。チャネルとは何ですか,"ご利用されたい回線数のことになります。\n申込チャネル数により、同時に発着信できる台数が異なります。\n2チャネルであれば、2台同時に発着信できますが、3台目以降は話中音(キャッチホン無)が相手に流れます。\n3台同時に発着信をご利用されたい場合は、台数分のチャネルの申込が必要になります。\nまた、ご利用されるチャネル数に応じ、申込タイプも異なります。"
フリーダイヤル(フリーアクセス)の申込をしたいです。,"月額料金 1100円\n登録事務手数料 3300円\n申込後、フリーアクセスの番号をご案内します。\n番号決定後、7日後(土日祝を除く)からサービスをご利用頂けます。"
あなたの名前を教えて,"私はスリム通信社内のサポート用チャットボットです。名前を決めてほしいです！"
敷地内移転とは何ですか？,"敷地内移転とは、同じ建物・同じ敷地の中で、ルーターやONU、HGWなどの設置場所だけを移動すること。\n住所変更や回線解約を伴わない、配線・設置位置の変更。"
WEPとは何ですか？,"WEPは、昔のWi-Fi用セキュリティ規格。\n暗号化の仕組みが弱く、数分～数十分で解読できるため非推奨"
AES暗号方式とは何ですか？,"AESは、現在のWi-Fiや政府機関でも使われている強力な暗号方式。\n非常に解読が困難で安全とされているため、WPA2・WPA3で使用"
WPA2で問題となった攻撃手法とは何ですか？,"代表的なものがKRACK攻撃。\nWPA2の通信開始時の仕組みの弱点を突く攻撃で、パスワードを盗むのではなく通信の暗号を一時的に弱める。"
パスワード総当たり攻撃とは何ですか？,"考えられるパスワードを片っ端から試す攻撃。\n短くて単純なパスワードほど危険"
ONUに関して端的に教えてください。,"ONU=光回線の入口\nONUが死んだら全部止まる\n設定は触らない"
HGWに関して端的に教えてください。,"HGW=電話がある限り必須\n電話をやめたら構成が変わる可能性あり"
