No,質問,期待回答,実際回答,スコア,判定
34,ビジネスホンの取り扱いはしておりますか,取り扱いしております。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

申し訳ございませんが、お問い合わせいただいたビジネスホンの取り扱いにつきまして、お調べいたしましたが、あいにく関連する情報が見つかりませんでした。

お手数をおかけいたしますが、詳細につきましては担当部署へ直接ご確認いただけますでしょうか。
お力になれず申し訳ございません。",0.0,×
35,複合機の取り扱いはしておりますか,取り扱いしております。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただき、ありがとうございます。

申し訳ございませんが、お問い合わせいただいた複合機の取り扱いに関する情報が見つかりませんでした。
恐れ入りますが、詳細につきましては、担当部署へご確認いただけますでしょうか。",0.0,×
36,防犯カメラの取り扱いはしておりますか,取り扱いしております。\n屋外用・屋内用やパンチルト対応の機器など様々な取り扱いがあり、セット価格でご提供ができます。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただき、ありがとうございます。
防犯カメラの取り扱いについてお調べいたしましたが、誠に申し訳ございませんが、ご案内できる情報が見つかりませんでした。",0.0,×
37,インターネットの設定で、PPPoEとは何ですか,インターネットの接続方式の一つになります。\n類似の接続方式で、IPoE方式の接続もございます。\nご利用の用途に合わせ当社専門スタッフが判断しお客様に提案いたします。,"お問い合わせありがとうございます。

PPPoEとは、インターネットに接続するための通信方式の一つです。

従来から利用されている接続方式で、プロバイダーのネットワークを経由してインターネットに接続します。
設定の際には、プロバイダーから発行されたIDとパスワードの入力が必要になるのが特徴です。

ちなみに、最近ではIDやパスワードが不要で、より高速な「IPoE」という新しい接続方式もございます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.819,〇
38,契約者の名義は変更できますか,変更できます。\n名義となる方の身分証明書を当社までご送付願います。\n名義変更までおおよそ1ヶ月程となります。\n\n【必要書類】\n個人 → 個人(新) ●新しく契約者になるかたの身分証明書【運転免許証又はマイナンバーカード  健康保険証と公共料金の表の写し2枚1セット】\n個人 → 法人 ●登記簿の写し\n法人 → 個人 ●新しく契約者になるかたの身分証明書【運転免許証又はマイナンバーカード 健康保険証と公共料金の表の写し2枚1セット】\n法人 → 法人(新) ●登記簿の写し,"はい、契約者の名義変更は可能でございます。

お手続きには、変更後の名義人様の必要書類を弊社までご送付いただく必要がございます。
なお、名義変更が完了するまでには、おおよそ1ヶ月ほどお時間をいただいております。

必要な書類は、現在の契約者様と新しい契約者様の種別によって異なります。

*   **個人 → 新しい個人様への変更**
    *   新しく契約者になる方の身分証明書
    （運転免許証またはマイナンバーカード。もしくは、健康保険証と公共料金の領収書の写し2点セット）

*   **個人 → 法人様への変更**
    *   登記簿の写し

*   **法人 → 新しい個人様への変更**
    *   新しく契約者になる方の身分証明書
    （運転免許証またはマイナンバーカード。もしくは、健康保険証と公共料金の領収書の写し2点セット）

*   **法人 → 新しい法人様への変更**
    *   登記簿の写し

ご不明な点がございましたら、お気軽にお尋ねください。",0.906,〇
39,確定申告で通信費用の明細が必要です。ご利用明細を1年分送ってもらうことはできますか,可能です。\n手数料330円となります。\n0120-36-3624までお問い合わせいただき、郵送で送付いたします。,"お問い合わせいただき、ありがとうございます。

確定申告にご利用になる通信費用の明細につきまして、1年分を発行することは可能でございます。

発行にあたり、手数料として330円（税込）を頂戴しております。
お手続きはお電話にて承っておりますので、お手数ではございますが、下記窓口までご連絡いただき、明細の郵送をご希望の旨をお申し付けください。

【お問い合わせ窓口】
0120-36-3624

その他、ご不明な点がございましたらお気軽にお尋ねください。",0.785,〇
40,電話が故障しました。どのようにすればよろしいですか,新しい電話機をご用意ください。\n新しい電話機を設置後、それでも電話が利用できない場合は回線の故障が考えられます。\n0120-805-113までお問い合わせください。,"お電話の故障とのこと、ご不便をおかけしております。

恐れ入りますが、詳しい状況をお伺いする必要がございますので、以下の窓口までお問い合わせいただけますでしょうか。

**【お問い合わせ窓口】**
**0120-36-3624**

お手数をおかけいたしますが、よろしくお願いいたします。",0.787,〇
41,インターネットが繋がらなくなりました。どのようにすればよろしいですか,各種ルーターの再起動を実施してください。\n下記ルーターの電源をOFF、ONをを行ってください。\n\n〜それでも解決しない場合〜\nランプ状態をご確認ください。\n\n①ルーター電源ランプ 消灯 → 電源が入っていない → 電源が入っている場合は、故障 ■0120-805-113故障センターまでお電話ください。\n\n②PPPランプ → 緑 → 正常に繋がています → WiFiルーター又は無線LANカードに原因があります。 ■Wi-Fiルーターの再起動を実施してください、又は0120-36-3624までお問い合わせください。\nPPPランプ → 消灯 → インターネット未接続 インターネット接続の再設定が必要です。 ■0120-36-3624までお問い合わせください。\n\n③ひかり電話ランプ → 消灯 → ひかり電話の契約がある場合は、ルーターの故障が考えられます。 ■0120-805-113故障センターまでお電話ください。\n\n④ACTランプ → 消灯 → 故障です。 ■0120-805-113故障センターまでお電話ください。\n\n⑤登録ランプ → 消灯 → 故障です。 ■0120-805-113故障センターまでお電話ください。\n\n⑥認証ランプ → 消灯 → 装置運用準備中または装置故障 ■0120-805-113故障センターまでお電話ください。\n\n⑦UNIランプ → 消灯 → 故障 ■0120-805-113故障センターまでお電話ください。\n\n⑧光回線ランプ → 消灯 → 橙点灯又は消灯 → 故障 ■0120-805-113故障センターまでお電話ください。\n\n参考URL https://www.ntt-west.co.jp/kiki/support/hgw_lamp/,"インターネットに接続できないとのこと、ご不便をおかけしております。

お手数ですが、以下の操作を順番にお試しいただけますでしょうか。

**1. 関連機器の再起動**
まず、お使いのパソコンやスマートフォンの再起動をお試しください。
それでも改善しない場合は、ルーターやONU（光回線終端装置）の電源を一度抜き、数分待ってから再度電源を入れ直すことで、状況が改善される場合がございます。

**2. 配線の確認**
LANケーブルが、ご利用の機器や壁の接続口にしっかりと挿し込まれているか、抜けかかっていないかをご確認ください。

上記の方法をお試しいただいても状況が改善されない場合は、詳細な状況をお調べいたしますので、お手数ですが社内ヘルプデスクまでお問い合わせください。",0.935,〇
42,スリム光電話で携帯電話などへの発信ができません。どうしたらいいですか,恐らく電話機の機能で、発信番号の前に00から始まるマイラインの登録をされている可能性がございます。\n電話機の操作で、マイラインの解除を行ってください。\nそれでも解消されない場合は、0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。
スリム光電話から携帯電話などへ発信ができず、ご不便をおかけしております。

お調べいたしましたが、お使いの機器やご契約状況によって原因が異なる可能性があり、いただいた情報の中からは直接の解決策をご案内することができませんでした。大変申し訳ございません。

一般的な対処法としまして、一度、光電話対応のルーターと電話機の電源を入れ直していただくことで、状況が改善する場合がございますので、お試しいただけますでしょうか。

もし再起動しても改善されない場合は、詳細な状況を確認のうえご案内いたしますので、恐れ入りますが、担当のサポート窓口までお問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.857,〇
43,転送電話(ボイスワープ)の設定方法を教えてください。,無条件転送と無応答時転送2つが主にご利用される設定方法になります。\n手順1で転送先の電話番号を登録します。\n手順2は無応答時転送の呼び出し回数を設定します。(無条件転送の場合は不要です)\n手順3で転送の方法を指定し、転送を開始します。\n手順4で転送を終了します。\n\n〜手順〜\n\n【手順1】\n転送先電話番号を登録する\nご利用を開始する前に転送先電話番号を登録します。\n142 → ガイダンス → 2 → ガイダンス → 転送先電話番号 → ガイダンス → 完了\n\n【手順2】\n呼び出し回数を設定する\n転送先電話番号を登録した後、呼び出し回数の登録を行います。\n転送元の電話のベルが鳴る回数を0〜9回までのいずれかに指定できます。\n\n142 → ガイダンス → 3 → ガイダンス → 呼び出し回数(0〜9) → ガイダンス → 完了\n\n【手順3】\n転送開始の設定をする\n142 → ガイダンス → 1 ガイダンス → 1 → 無条件転送\n142 → ガイダンス → 1 ガイダンス → 2 → 無応答時転送\n\n【手順4】\n転送を停止する\n142 → ガイダンス → 0 → ガイダンス → 完了,"お問い合わせありがとうございます。
転送電話（ボイスワープ）の設定方法についてですね。

主な設定方法には、すべての着信を転送する「**無条件転送**」と、電話に出られない時だけ転送する「**無応答時転送**」の2種類がございます。
設定手順は以下の通りです。

**【手順1】転送先電話番号の登録**
はじめに、転送させたい先の電話番号を登録します。
`142` に発信 → ガイダンスに従い `2` をプッシュ → 転送先の電話番号をプッシュ → ガイダンスに従い登録を完了します。

**【手順2】呼び出し回数の設定（無応答時転送の場合）**
無応答時転送をご利用になる場合、何回コールが鳴った後に転送するかを設定します。（0～9回）
`142` に発信 → ガイダンスに従い `3` をプッシュ → 呼び出し回数をプッシュ → ガイダンスに従い設定を完了します。
※無条件転送の場合は、この手順は不要です。

**【手順3】転送の開始**
ご希望の方法で転送を開始します。
*   **無条件転送の場合**：`142` に発信 → ガイダンスに従い `1` をプッシュ → さらに `1` をプッシュ
*   **無応答時転送の場合**：`142` に発信 → ガイダンスに従い `1` をプッシュ → さらに `2` をプッシュ

**【手順4】転送の停止**
転送を停止する際は、以下の操作を行ってください。
`142` に発信 → ガイダンスに従い `0` をプッシュ → ガイダンスに従い停止を完了します。

以上が設定方法となります。
ご不明な点がございましたら、お気軽にお尋ねください。",0.874,〇
44,電話回線を複数持ちたいです。どのようにすればいいですか,電話回線、電話番号を複数ご利用頂くことは可能です。\n当社にて、複数の回線・番号のヒアリングを行いご提供いたします。\n複数の電話回線・番号をご利用するためには、ビジネスホンが必要です。\n0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。

電話回線の追加をご希望とのこと、承知いたしました。

申し訳ございませんが、お調べいたしましたが、電話回線を複数持つための具体的なお手続きに関する情報が見つかりませんでした。

恐れ入りますが、詳細につきましては担当部署にてご案内いたしますので、別途担当者までお問い合わせいただけますでしょうか。

お手数をおかけしますが、よろしくお願い申し上げます。",0.0,×
45,転送電話の通話料金はいくらかかりますか,1分 17.6円になります。\n1分単位の課金でご利用できます。\n例)10分 17.6円*10回 = 176円となります。,"お問い合わせいただきありがとうございます。

申し訳ございません。お問い合わせいただいた転送電話の通話料金に関する情報が見つかりませんでした。

料金の詳細はご契約プランによって異なる場合がございますので、恐れ入りますが、担当部署へご確認いただけますでしょうか。",0.0,×
46,国内の固定電話の通話料金はいくらかかりますか,3分 8.8円となります。\n3分単位の課金でご利用できます。\n例) 10分 8.8円*10回 = 88円となります。,"お問い合わせいただきありがとうございます。

申し訳ございませんが、いただいた情報の中には国内固定電話の通話料金に関する情報が見つかりませんでした。

一般的に、国内の固定電話の通話料金は、通話先の距離（市内、市外など）や時間帯、またご契約のプランによって異なります。

大変恐れ入りますが、詳細な料金につきましては、ご契約内容をご確認いただくか、担当部署までお問い合わせいただけますでしょうか。
お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
47,携帯電話への発信の通話料金はいくらかかりますか,1分 17.6円になります。\n1分単位の課金でご利用できます。\n例) 10分 17.6円*10回 = 176円となります。,"お問い合わせいただき、ありがとうございます。

申し訳ございませんが、お調べいたしましたが、携帯電話への発信の通話料金に関する情報が見つかりませんでした。

通話料金はご契約のプランによって異なる場合がございます。
大変恐れ入りますが、詳細につきましては、ご契約書類をご確認いただくか、担当窓口までお問い合わせいただけますでしょうか。",0.0,×
48,電話を解約して、インターネットだけの契約にしたい。どうすればいいですか,まずは、0120-36-3624にお問い合わせください。\nオペレータにて受付をいたしまして、インターネットの廃止日を決定いたします。\n特に工事はありませんので、そのままの設備でご利用頂けます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクスト 3850円※1\n※税込\n※1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2000円の解約金がかかります。\n\nQ. 電話プランに変更時、今までの利用期間はどうなりますか？また解約金はかかりますか？\nA. 解約金がかかります。プラン変更時にリセットされ、変更日が契約開始日となります。,"お問い合わせいただき、ありがとうございます。
お電話の契約を解約し、インターネットのみの契約に変更をご希望とのこと、承知いたしました。

申し訳ございません。お調べいたしましたが、ご質問いただいたお手続きに関する詳細な情報が見つかりませんでした。

契約プランの変更やお手続きが必要となる可能性がございます。お手数をおかけしますが、お客様の契約状況を確認した上でご案内させていただきますので、担当部署、またはサポート窓口まで直接お問い合わせいただけますでしょうか。",0.0,×
49,通話明細を出してほしい,可能です\n0120-36-3624までお問い合わせください。\n発行手数料として、550円かかります。,"お問い合わせいただき、ありがとうございます。
通話明細の発行をご希望とのこと、承知いたしました。

申し訳ございません。お問い合わせいただいた通話明細の発行方法につきまして、あいにくこちらでは情報が見つかりませんでした。

お手数をおかけいたしますが、詳細につきましては、ご契約者様専用のマイページをご確認いただくか、担当部署またはカスタマーサポートまで直接お問い合わせくださいますようお願い申し上げます。",0.0,×
50,引越し先でも同じ電話番号を使うことはできますか？,お引越し先によります、\n詳しくお調べ致しますので、0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。

引越し先で同じ電話番号をご利用いただけるかどうかは、お引越し先の場所によって異なります。

一般的に、現在お住まいの地域を管轄しているNTT交換局のエリア内へのお引越しであれば、同じ番号を継続してご利用いただける可能性が高いです。
しかし、管轄の交換局エリアが変わるお引越しの場合は、電話番号も変更となります。

恐れ入りますが、いただいた情報だけでは継続利用の可否を判断することが難しいため、詳細につきましては担当窓口までお問い合わせいただけますでしょうか。",0.878,〇
51,迷惑電話が多いので、電話を着信拒否した,電話機側の機能と回線側の機能とございます。\n\n【回線側の機能】\n迷惑電話を受けた直後に、電話機から登録操作を行うことで、同じ電話番号からの着信を拒否できます。\n登録した電話番号からかかってきた場合、自動的にメッセージで応答します。\n登録した電話番号以外からかかってきた場合は、通常の対応が可能です。\n\n【サービスの種類】\nひかり電話番号毎での登録・ひかり電話回線での登録の2つございます。\n最大30個の電話番号を拒否登録できます。\n月額料金 220円(ひかり電話番号毎の場合は契約数分かかります)\n\n事務手数料 2200円\n\n迷惑電話登録機能が装備されている電話機をご利用であれば、無料でご利用いただけます。(ナンバーディスプレイが必要),"迷惑電話が多いとのこと、ご不便をおかけしております。
すでにご自身で着信拒否の設定をされたのですね。

もしよろしければ、他にも迷惑電話への対策として有効な設定がございます。
例えば、ご利用の電話機やサービスによっては、電話番号を通知しないでかかってくる着信を拒否する「非通知着信拒否」の設定なども可能です。

操作方法などでご不明な点がございましたら、お気軽にお尋ねください。",0.922,〇
52,現在電話のみの契約ですが、WiFiも利用したいと思います。どのようにすればいいですか,当社よりご契約のプランをインターネットコースに変更し、インターネットをご利用いただくためのＩＤとパスワードを発行しお客様に郵送いたします。\n到着後、インターネット設定を行いWi-Fiの機器を接続頂きましたらWi-Fiがご利用頂けるようになります。\n(V6プラスの場合は、インターネット設定は不要です。)\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただき、ありがとうございます。

現在お電話のみのご契約からWi-Fiもご利用いただくには、ご契約プランをインターネットコースへ変更するお手続きが必要となります。

プラン変更のお手続き後、インターネット接続用のIDとパスワードをご郵送いたします。
IDとパスワードがお手元に届きましたら、インターネットの初期設定を行い、Wi-Fi機器を接続していただくことでWi-Fiがご利用可能になります。
（※V6プラスのプランの場合は、インターネットの初期設定は不要です。）

詳しいお手続きにつきましては、お手数ですが下記窓口までお問い合わせください。

**お問い合わせ窓口：0120-36-3624**",0.854,〇
53,電話リレーサービス料とは何ですか,電話リレーサービス料とは、聴覚や発話に困難のある方と通話する電話リレーサービスの提供に必要な費用を、電話利用者が負担する料金です。\n詳細は下記総務省のページをご参照ください。\nhttps://www.soumu.go.jp/menu_seisaku/ictseisaku/telephonerelay/index.html,"お問い合わせいただき、ありがとうございます。

「電話リレーサービス料」についてご説明いたします。

電話リレーサービスとは、聴覚や発話に困難のある方と、きこえる方との会話を、通訳オペレーターが手話・文字と音声とを通訳することで、電話で双方向につなぐ公共インフラサービスです。

このサービスを安定的・継続的に提供するために必要な費用を、電話をご利用のすべてのお客様に、ご利用の電話番号数に応じて公平にご負担いただくのが「電話リレーサービス料」でございます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.776,〇
54,ユニバーサル料金とは何ですか,「ユニバーサルサービス料」とは、加入電話・公衆電話・緊急通報などの電話サービス （ユニバーサルサービス）を日本全国に安定的に供給できるよう、必要となる費用をお客様にご負担いただいております。\n詳細は下記総務省のページをご参照ください。 \nhttps://www.soumu.go.jp/main_sosiki/joho_tsusin/universalservice/,"お問い合わせありがとうございます。
ユニバーサル料金（ユニバーサルサービス料金）についてご説明します。

ユニバーサル料金とは、加入電話（固定電話）や公衆電話、緊急通報（110番、119番など）といった、国民の生活に不可欠な電話サービスを、日本全国どこでも公平に利用できるよう維持するための費用です。
この費用を、電話番号をご利用のお客様皆様で公平にご負担いただくものとなっております。

ご不明な点がございましたら、お気軽にお尋ねください。",0.811,〇
55,電報は使えますか,ご利用頂けます。\nひかり電話から電報を送るには、「115」に電話をかけて、電報の種類や届け先、メッセージなどを伝えます。\n【手順】\n電話番号「115」にダイヤルする\nおかけになっている電話番号とお名前を伝える\nオペレーターの質問に答える\n電報の種類(お祝い・お悔み等)、お届け日、漢字使用の有無、お届け先・お名前、メッセージなどを伝える\n電報料金は、お申込みの際にお使いになった電話番号の電話料金と一緒にお支払いとなります。,"お問い合わせいただきありがとうございます。

お調べいたしましたが、ご質問いただいた電報サービスに関する情報が見つかりませんでした。
誠に恐れ入りますが、詳細につきましては、担当窓口へお問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
56,口座振替の振替日は毎月いつ頃になりますか,毎月27日になります。\n27日が平日以外の場合は、翌日または翌々日の平日に引落となります。,"お問い合わせいただき、ありがとうございます。

口座振替の振替日についてお調べいたしましたが、あいにく関連する情報が見つかりませんでした。
お役に立てず、大変申し訳ございません。",0.0,×
57,毎月の利用料金の明細を郵送してほしい,口座振替・クレジット払いのお客様のみ可能です。\n明細費用ですが、送料込みで220円となります。\nマイページからも印刷できます。,"お問い合わせいただき、ありがとうございます。
毎月の利用料金明細の郵送をご希望とのこと、承知いたしました。

申し訳ございませんが、お調べいたしましたが、料金明細の郵送手続きに関する情報を見つけることができませんでした。

大変恐れ入りますが、詳細なご確認やお手続きにつきましては、弊社カスタマーサポートまで直接お問い合わせいただけますでしょうか。
お力になれず大変申し訳ございませんが、何卒よろしくお願い申し上げます。",0.786,〇
58,サービスを解約したい。どのように手続きをすればよろしいですか,当社まで解約のお問い合わせを頂き、解約を受理後、解約日を決定します。\n書面で送付致しますので、解約日を持ちましてサービスが終了となります。\nご利用頂いてるNTTルーター(ONUやHGW)はご返却キッドが送付されますので、そのキッドを利用しご返却ください。\n当社よりWi-Fいルーターをレンタルされているお客様にも同様に返却キッドが送付されますので、そのキッドを利用し、ご返却ください。ご利用頂いた月の翌月が最後のご請求となります。,"お問い合わせいただき、ありがとうございます。

申し訳ございません。お問い合わせいただいたサービスの解約手続きにつきまして、お調べいたしましたが、こちらの情報の中には該当するご案内が見つかりませんでした。

誠に恐れ入りますが、解約のお手続きにつきましては、担当部署にて承っております。
お手数ではございますが、担当部署、または弊社カスタマーサポートまで直接お問い合わせいただけますでしょうか。",0.0,×
59,メールアドレスを使いたい。どのようにすればよろしいですか,0120-36-3624までお問い合わせください。\n設定を遠隔又は口頭でご案内いたします。,"お問い合わせいただきありがとうございます。

メールアドレスのご利用に関するご質問ですね。

誠に申し訳ございませんが、いただいた情報の中には、メールアドレスの取得方法に関するご案内がございませんでした。

一般的に、社内メールアドレスの発行や設定方法につきましては、情報システム部が担当しております。
お手数をおかけいたしますが、情報システム部またはITサポート担当まで直接お問い合わせいただけますでしょうか。

よろしくお願いいたします。",0.778,〇
60,IPv6に変更したい。どのように設定すればいいか教えてください,当社よりIPv6プラスをご利用頂くための信号を送信いたします。\n・NTTルーター(HGW)タイプであれば、当社にご連絡頂くだけで自動的に変更となります。\n・Wi-Fiルーターでご利用の場合は、設定をIPv6プラスに変更頂く必要がございます。,"お問い合わせいただきありがとうございます。
IPv6への変更設定についてですね。

ご利用の機器によって設定方法が異なります。

*   **NTTのルーター（ホームゲートウェイ）をご利用の場合**
    当社にご連絡いただければ、こちらから信号を送信し自動的に変更いたします。お客様側での設定作業は特に必要ございません。

*   **お客様ご自身でご用意されたWi-Fiルーターをご利用の場合**
    ルーターの設定画面にて、接続方式を「IPv6プラス」に変更していただく必要がございます。

ご不明な点がございましたら、お気軽にお知らせください。",0.816,〇
61,口座振替をしていますが、残高不足で料金が引落されませんでした。どのようにして利用料金をお支払いすればよろしいですか,自動的にコンビニエンスストアなどでお支払頂くことができる請求書が郵送されます。\nお急ぎの場合は、当社までお問い合わせ頂きますと銀行振込でお支払いただくこともできます。,"お問い合わせいただきありがとうございます。

口座振替ができなかったとのこと、ご心配をおかけしております。

残高不足により料金が引き落とされなかった場合、後日、お支払い用の請求書（または払込票）が自動的にお手元へ郵送されます。
お手数ではございますが、そちらの請求書が届きましたら、記載の期限までにお支払いくださいますようお願いいたします。

もし請求書が届かない場合や、その他ご不明な点がございましたら、再度お問い合わせください。",0.796,〇
62,口座振替をしていますが、料金の引き落としがされませんでした。理由を教えてください。,残高不足や、口座振替提出時の不備などになります。\n当社までお問い合わせ頂きますと、詳しく詳細をお調べすることができます。\n0120-36-3624までお問い合わせください。,"ご不便をおかけし、誠に申し訳ございません。

口座振替の引き落としがされなかった場合、主に以下のような理由が考えられます。

*   ご指定口座の残高が不足していた
*   ご登録いただいている口座情報（口座番号や名義など）に誤りがあった

恐れ入りますが、私（チャットボット）ではお客様個別の詳しい状況を確認することができません。
大変お手数ですが、詳細をお調べいたしますので、担当部署までお問い合わせいただけますでしょうか。",0.894,〇
63,マイページの利用方法を教えてください。,下記、URLよりログインいただきます。\nhttps://www.slim-j.net/mypage/ \n※IDとパスワードは、会員登録書に記載があります。紛失してしまった場合は再発行いたしますので、当社までお問い合わせください。\nログイン後、年・月毎で検索できるページが表示されます。\nご覧頂きたい月・印刷をしたい月を検索し、ご利用ください。,"お問い合わせいただきありがとうございます。

「マイページの利用方法」についてお調べしましたが、あいにく、お尋ねの件に関する情報が見つかりませんでした。
お力になれず、大変申し訳ございません。

恐れ入りますが、詳細につきましては、担当部署へお問い合わせいただけますでしょうか。",0.0,×
64,Wi-Fiセキュリティ規格WPAについて教えてください。,WPAは、Wi-Fiの通信内容を暗号化するためのセキュリティ規格です。\n\n【WPAの特徴】\n個人と法人の両方で利用できる\nWEP(Wired Equivalent Privacy)の脆弱性を解消・軽減するために導入されたました。\nTKIP(Temporal Key Integrity Protocol)と呼ばれる仕組みを採用しています。\n\n【WPAのバージョン】\nWPA2(Wi-Fi Protected Access 2)は、WPAよりもセキュリティを強化した規格です。\nWPA3はWPA2の後継で、2018年7月に公開された。2020年7月にはすべてのWi-Fi無線機器がWPA3をサポートすることが義務化されました。\n【WPA3のメリット】\nKRACKへの対処するための仕組みが追加されています。\nWPA2と比べてセキュリティ強度が向上しているます。\nユーザーが攻撃者に推測されやすいパスワードを設定していても優れた保護能力を発揮します。\nユーザー自身が覚えやすいパスワードを設定することが可能になりました。,"お問い合わせいただきありがとうございます。
Wi-Fiセキュリティ規格のWPAについてご説明します。

WPAとは、Wi-Fiの通信内容を安全に暗号化するためのセキュリティ規格のことです。以前の規格(WEP)の脆弱性を解消するために導入されました。

WPAには、よりセキュリティを強化した「WPA2」や、最新規格の「WPA3」といった後継の規格があります。
特にWPA3は、2020年7月からすべてのWi-Fi機器での対応が義務付けられており、従来の規格に比べてセキュリティが大幅に向上しています。覚えやすいパスワードを設定しても高い保護能力を発揮するなどの特長があります。",0.704,〇
65,マイページのIDとパスワードを紛失してしまい、マイページに入ることができません。IDとパスワードを教えてください。,マイページ情報の記載がある会員登録証を再発行し、お客様のご契約住所まで送付させて頂きます。\n0120-36-3624 サポートセンターまでお問い合わせください。,"お問い合わせいただき、ありがとうございます。
マイページのIDとパスワードをお忘れとのこと、ご不便をおかけしております。

セキュリティの都合上、IDとパスワードを直接お伝えすることができかねます。
つきましては、マイページ情報が記載された「会員登録証」を再発行し、ご契約の住所へ郵送させていただきます。

大変お手数ではございますが、再発行をご希望の場合は、下記のサポートセンターまでご連絡いただけますでしょうか。

【サポートセンター】
電話番号：0120-36-3624

何卒よろしくお願い申し上げます。",0.829,〇
66,スリム光サービスの月額料金を教えてください。,東西一律、下記料金となります。\nスリム光クロスF・M(定額制 1Gbps) 6050円\nスリム光ギガタイプファミリータイプ(定額制 1Gbps) 5280円\nスリム光ギガタイプマンションタイプ(定額制 1Gbps) 3850円\n※プロバイダ込\n\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクストA 3850円\n全て税込価格,"お問い合わせいただきありがとうございます。
スリム光サービスの月額料金についてですね。

大変申し訳ございませんが、お調べしましたところ、月額料金に関する情報が見つかりませんでした。
料金プランは、お客様のご契約内容によって異なる場合がございますので、恐れ入りますが、ご契約時の資料をご確認いただくか、担当部署までお問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
67,スリムBBとは何ですか,当社独自のインターネットプロバイダサービスとなります。\n\n【プロバイダとは】\nインターネットに接続するためのサービスを提供する事業者のことで、インターネットサービスプロバイダ(ISP)とも呼ばれます。\n\n【月額料金】\n1100円となります。\n\n【初期費用】\n無料\n\n【接続方式】\nIPoE PPPoE\n\n【支払い方法】\n請求書払い・口座振替・クレジット支払の3種類からお選び頂けます。\n\n【契約期間】\n2年完走型\n\n【メールアドレス】\n最大3つまで,"お問い合わせありがとうございます。
スリムBBについてですね。

スリムBBは、当社が提供する独自のインターネットプロバイダサービスでございます。
サービスの詳細は以下の通りです。

*   **月額料金**：1,100円
*   **初期費用**：無料
*   **接続方式**：IPoE および PPPoE
*   **お支払い方法**：請求書払い・口座振替・クレジットカード払いの3種類からお選びいただけます。
*   **契約期間**：2年契約となります。
*   **メールアドレス**：最大3つまで無料でご利用いただけます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.733,〇
68,同じ敷地でルーターの場所を移動したい,敷地内移転になります。\n0120-36-3624までお問い合わせください。\n※おおよそ1ヶ月程かかります。,"お問い合わせいただきありがとうございます。

同じ敷地内でルーターの場所を移動されたいとのこと、承知いたしました。

移動先の場所に、インターネット回線の差込口（光コンセントやLANポートなど）はございますでしょうか。
もし差込口がある場合は、ルーターの電源を一度切り、ケーブルを差し替えることで移動できる可能性がございます。

しかしながら、配線の状況によっては専門の担当者による作業や設定変更が必要となる場合もございます。
つきましては、お手数をおかけいたしますが、一度社内の情報システム担当部署までご相談いただくのが最も確実かと存じます。

その他ご不明な点がございましたら、お気軽にお尋ねください。",0.814,〇
69,電話が使えなくなりました。どのようにすればよろしいですか,故障が考えられます。\nNTTルーター(HGW)のプランのひかり電話をご確認ください。\nランプが消灯していた場合は、故障になります。\n0120-805-113または0120-36-3624までお問い合わせください。,"お電話がご利用になれないとのこと、ご不便をおかけしております。

恐れ入りますが、まずは以下の点をご確認いただけますでしょうか。

*   電話機本体や、ルーターなどの関連機器の電源が正しく入っているか。
*   電話線やLANケーブルなどが、壁や機器にしっかりと接続されているか。
*   電話機や関連機器の再起動（電源の入れ直し）を試してみる。

もし上記をお試しいただいても状況が改善しない場合は、詳細な状況をお伺いする必要がございます。
大変お手数ですが、担当部署にて調査いたしますので、改めてその旨をお知らせいただけますでしょうか。",0.81,〇
70,送付住所変更希望,毎月届く請求書や明細などの送付物の宛名・住所に変更されたい場合は、お電話のみ承っております。\n0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。
送付先住所のご変更ですね。

恐れ入りますが、いただいた情報の中から、送付先住所の変更手続きに関するご案内を見つけることができませんでした。

つきましては、大変お手数をおかけいたしますが、担当窓口へ直接お問い合わせいただき、お手続きを進めていただけますでしょうか。
よろしくお願いいたします。",0.776,〇
